CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
MNB,6122,MNG CARGO AIRLINES,2018-12-10T11:15:00,2018-12-10T11:15:00,A,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,NOT FINAL,לא סופי
W6,2326,WIZZAIR,2018-12-10T11:15:00,2018-12-10T11:15:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,1,,,ON TIME,בזמן
ST,2938,GERMANIA FLUGGESELLSCHAFT MBH,2018-12-10T11:20:00,2018-12-10T11:20:00,A,DUS,DUSSELDORF,דיסלדורף,DUSSELDORF,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
TK,794,TURKISH AIRLINES,2018-12-10T11:20:00,2018-12-10T11:20:00,A,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,NOT FINAL,לא סופי
W6,2812,WIZZAIR,2018-12-10T11:20:00,2018-12-10T11:20:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,1,,,ON TIME,בזמן
LO,156,LOT POLISH AIRLINES,2018-12-10T11:25:00,2018-12-10T11:25:00,D,WAW,WARSAW,וורשה,WARSAW,פולין,POLAND,3,,,ON TIME,בזמן
EZS,1525,EASY JET SWITZERLAND,2018-12-10T11:30:00,2018-12-10T11:30:00,A,GVA,GENEVA,ג'נבה,GENEVA,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
6H,763,ISRAIR AIRLINES,2018-12-10T11:30:00,2018-12-10T11:30:00,D,BEG,BELGRADE,בלגראד,BELGRADE,סרביה,SERBIA,3,,,ON TIME,בזמן
UA,085,UNITED AIRLINES,2018-12-10T11:35:00,2018-12-10T11:35:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,ON TIME,בזמן
HV,5801,TRANSAVIA,2018-12-10T11:45:00,2018-12-10T11:45:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
LY,032,EL AL ISRAEL AIRLINES,2018-12-10T11:45:00,2018-12-10T11:45:00,A,YYZ,TORONTO,טורונטו,TORONTO,קנדה,CANADA,3,,,NOT FINAL,לא סופי
AM,7868,AERO MEXICO,2018-12-10T11:50:00,2018-12-10T11:50:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
LY,002,EL AL ISRAEL AIRLINES,2018-12-10T11:50:00,2018-12-10T11:50:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,NOT FINAL,לא סופי
SU,502,AEROFLOT RUSSIAN AIRLINES,2018-12-10T11:50:00,2018-12-10T11:50:00,A,SVO,MOSCOW,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,NOT FINAL,לא סופי
SU,507,AEROFLOT RUSSIAN AIRLINES,2018-12-10T11:50:00,2018-12-10T11:50:00,D,SVO,MOSCOW,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,ON TIME,בזמן
AC,085,AIR CANADA,2018-12-10T11:55:00,2018-12-10T11:55:00,D,YYZ,TORONTO,טורונטו,TORONTO,קנדה,CANADA,3,,,ON TIME,בזמן
FR,3605,RYANAIR,2018-12-10T12:00:00,2018-12-10T12:00:00,D,FMM,MEMMINGEN,ממינגן,MEMMINGEN,גרמניה,GERMANY,1,,,ON TIME,בזמן
D8,5670,NORWEGIAN AIR SHUTTLE,2018-12-10T12:10:00,2018-12-10T12:10:00,A,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,,,NOT FINAL,לא סופי
ST,2939,GERMANIA FLUGGESELLSCHAFT MBH,2018-12-10T12:10:00,2018-12-10T12:10:00,D,DUS,DUSSELDORF,דיסלדורף,DUSSELDORF,גרמניה,GERMANY,3,,,ON TIME,בזמן
TK,795,TURKISH AIRLINES,2018-12-10T12:15:00,2018-12-10T12:15:00,D,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,ON TIME,בזמן
6H,430,ISRAIR AIRLINES,2018-12-10T12:15:00,2018-12-10T12:15:00,A,ETH,EILAT-J.HOZMAN,אילת,EILAT,ישראל,ISRAEL,3,,,NOT FINAL,לא סופי
EZS,1191,EASY JET SWITZERLAND,2018-12-10T12:25:00,2018-12-10T12:25:00,A,BSL,BASEL,באזל,BASEL,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
