CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
EZS,1525,EASY JET SWITZERLAND,2018-12-07T12:10:00,2018-12-07T12:57:00,A,GVA,GENEVA,ג'נבה,GENEVA,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
AHS,OEIOE,AERO HANDLING,2018-12-07T13:00:00,2018-12-07T13:01:00,D,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,DEPARTED,המריאה
6H,6430,ISRAIR AIRLINES,2018-12-07T13:05:00,2018-12-07T13:05:00,D,SDV,SDE DOV,שדה דב,SDE DOV,ישראל,ISRAEL,3,,,CANCELED,מבוטלת
LY,016,EL AL ISRAEL AIRLINES,2018-12-07T13:20:00,2018-12-07T13:09:00,A,BOS,BOSTON-LOGAN INT,בוסטון,BOSTON,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
HV,5802,TRANSAVIA,2018-12-07T12:45:00,2018-12-07T13:10:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,22-24,A,DEPARTED,המריאה
AM,7874,AERO MEXICO,2018-12-07T13:30:00,2018-12-07T13:14:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LY,006,EL AL ISRAEL AIRLINES,2018-12-07T13:30:00,2018-12-07T13:14:00,A,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
FV,6627,ROSSIYA AIRLINES,2018-12-07T13:30:00,2018-12-07T13:23:00,A,LED,ST. PETERSBURG,סט.פטרסבורג,S.PETERSBURG,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
SU,6627,AEROFLOT RUSSIAN AIRLINES,2018-12-07T13:30:00,2018-12-07T13:23:00,A,LED,ST. PETERSBURG,סט.פטרסבורג,S.PETERSBURG,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
EZY,4784,EASYJET,2018-12-07T13:10:00,2018-12-07T13:24:00,D,SXF,BERLIN -SCHOENEFELD,ברלין,BERLIN,גרמניה,GERMANY,1,316-320,W,DEPARTED,המריאה
QAS,9HVCL,QUALITY AIR SERVICES,2018-12-07T13:25:00,2018-12-07T13:25:00,A,VKO,MOSCOW-VNUKOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,CANCELED,מבוטלת
HU,7958,HAINAN AIRLINES Co. Ltd,2018-12-07T13:35:00,2018-12-07T13:27:00,D,PEK,BEIJING,בייג'ינג,BEIJING,סין,CHINA,3,43-48,B,DEPARTED,המריאה
D8,5671,NORWEGIAN AIR SHUTTLE,2018-12-07T13:15:00,2018-12-07T13:31:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,G14-G17,G,DEPARTED,המריאה
IZ,291,ARKIA  ISRAELI  AIRLINES,2018-12-07T13:00:00,2018-12-07T13:46:00,D,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,34-38,B,DEPARTED,המריאה
A3,560,AEGEAN  AIRLINES,2018-12-07T13:55:00,2018-12-07T13:48:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,LANDED,נחתה
LY,574,EL AL ISRAEL AIRLINES,2018-12-07T13:20:00,2018-12-07T13:51:00,A,OTP,BUCHAREST - OTOPENI,בוקארשט,BUCHAREST,רומניה,ROMANIA,3,,,LANDED,נחתה
AZ,806,ALITALIA,2018-12-07T13:55:00,2018-12-07T13:55:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
DL,6600,DELTA AIRLINES,2018-12-07T13:55:00,2018-12-07T13:55:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
HV,6532,TRANSAVIA,2018-12-07T13:30:00,2018-12-07T13:55:00,D,EIN,EINDHOVEN,איינדהובן,EINDHOVEN,הולנד,NETHERLANDS,3,20-22,A,DEPARTED,המריאה
PS,779,UKRAINE INTL  AIR,2018-12-07T14:15:00,2018-12-07T13:58:00,A,KBP,KIEV KYIV-BORISPOL,קייב,KIEV,אוקראינה,UKRAINE,3,,,LANDED,נחתה
IZ,841,ARKIA  ISRAELI  AIRLINES,2018-12-07T13:15:00,2018-12-07T14:01:00,D,ETH,EILAT-J.HOZMAN,אילת,EILAT,ישראל,ISRAEL,1,,,DEPARTED,המריאה
MNB,610,MNG CARGO AIRLINES,2018-12-07T14:15:00,2018-12-07T14:03:00,A,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,LANDED,נחתה
FR,4124,RYANAIR,2018-12-07T13:20:00,2018-12-07T14:05:00,D,WRO,WROCLAW,וורוצלאב,WROCLAW,פולין,POLAND,1,311-315,W,DEPARTED,המריאה
LY,008,EL AL ISRAEL AIRLINES,2018-12-07T14:10:00,2018-12-07T14:07:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
SU,503,AEROFLOT RUSSIAN AIRLINES,2018-12-07T13:20:00,2018-12-07T14:09:00,D,SVO,MOSCOW,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,25-33,A,DEPARTED,המריאה
TO,3302,TRANSAVIA FRANCE,2018-12-07T14:30:00,2018-12-07T14:10:00,A,ORY,PARIS-ORLY,פאריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
TK,786,TURKISH AIRLINES,2018-12-07T14:25:00,2018-12-07T14:12:00,A,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,LANDED,נחתה
AA,8375,AMERICAN AIRLINES,2018-12-07T14:15:00,2018-12-07T14:15:00,A,CDG,PARIS-CHARLES DE GAULLE,פאריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
LY,320,EL AL ISRAEL AIRLINES,2018-12-07T14:15:00,2018-12-07T14:15:00,A,CDG,PARIS-CHARLES DE GAULLE,פאריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
QAS,9HVCM,QUALITY AIR SERVICES,2018-12-07T13:15:00,2018-12-07T14:19:00,A,VKO,MOSCOW-VNUKOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
LY,552,EL AL ISRAEL AIRLINES,2018-12-07T14:30:00,2018-12-07T14:21:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,LANDED,נחתה
EZS,1526,EASY JET SWITZERLAND,2018-12-07T13:05:00,2018-12-07T14:23:00,D,GVA,GENEVA,ג'נבה,GENEVA,שוויץ,SWITZERLAND,1,316-320,W,DEPARTED,המריאה
TO,3300,TRANSAVIA FRANCE,2018-12-07T12:45:00,2018-12-07T14:28:00,A,ORY,PARIS-ORLY,פאריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
BA,165,BRITISH AIRWAYS PLC,2018-12-07T14:50:00,2018-12-07T14:35:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
AEA,1301,AIR EUROPA,2018-12-07T14:35:00,2018-12-07T14:40:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
FV,6628,ROSSIYA AIRLINES,2018-12-07T14:25:00,2018-12-07T14:41:00,D,LED,ST. PETERSBURG,סט.פטרסבורג,S.PETERSBURG,רוסיה,RUSSIAN FEDERATION,3,66-69,C,DEPARTED,המריאה
SU,6628,AEROFLOT RUSSIAN AIRLINES,2018-12-07T14:25:00,2018-12-07T14:41:00,D,LED,ST. PETERSBURG,סט.פטרסבורג,S.PETERSBURG,רוסיה,RUSSIAN FEDERATION,3,66-69,C,DEPARTED,המריאה
OS,857,AUSTRIAN AIRLINES,2018-12-07T14:55:00,2018-12-07T14:43:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
LY,312,EL AL ISRAEL AIRLINES,2018-12-07T14:50:00,2018-12-07T14:45:00,A,LTN,LUTON,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
CX,676,CATHAY PACIFIC AIRWAYS Ltd,2018-12-07T14:30:00,2018-12-07T14:48:00,D,HKG,HONG KONG INT'L,הונג-קונג,HONG KONG,סין,CHINA,3,59-65,C,DEPARTED,המריאה
SN,3289,BRUSSELS AIRLINES,2018-12-07T15:00:00,2018-12-07T14:48:00,A,BRU,BRUSSELS,בריסל,BRUSSELS,בלגיה,BELGIUM,3,,,LANDED,נחתה
LX,252,SWISS INT`L  AIRLINES,2018-12-07T14:35:00,2018-12-07T14:50:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
LY,8850,EL AL ISRAEL AIRLINES,2018-12-07T14:35:00,2018-12-07T14:50:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,LANDED,נחתה
6H,886,ISRAIR AIRLINES,2018-12-07T15:05:00,2018-12-07T14:53:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,LANDED,נחתה
PS,776,UKRAINE INTL  AIR,2018-12-07T14:35:00,2018-12-07T14:56:00,D,KBP,KIEV KYIV-BORISPOL,קייב,KIEV,אוקראינה,UKRAINE,3,39-42,B,DEPARTED,המריאה
EZY,7934,EASYJET,2018-12-07T14:00:00,2018-12-07T15:00:00,D,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,1,316-320,W,DEPARTED,המריאה
LY,2522,EL AL ISRAEL AIRLINES,2018-12-07T14:55:00,2018-12-07T15:02:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,LANDED,נחתה
LY,362,EL AL ISRAEL AIRLINES,2018-12-07T14:55:00,2018-12-07T15:03:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,LANDED,נחתה
A3,561,AEGEAN  AIRLINES,2018-12-07T14:45:00,2018-12-07T15:04:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,70-72,C,DEPARTED,המריאה
LY,564,EL AL ISRAEL AIRLINES,2018-12-07T14:50:00,2018-12-07T15:06:00,A,WAW,WARSAW,וורשה,WARSAW,פולין,POLAND,3,,,LANDED,נחתה
LY,386,EL AL ISRAEL AIRLINES,2018-12-07T14:45:00,2018-12-07T15:08:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
AA,8381,AMERICAN AIRLINES,2018-12-07T15:05:00,2018-12-07T15:13:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,LANDED,נחתה
LY,354,EL AL ISRAEL AIRLINES,2018-12-07T15:05:00,2018-12-07T15:13:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,LANDED,נחתה
LY,612,EL AL ISRAEL AIRLINES,2018-12-07T15:30:00,2018-12-07T15:16:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
S7,4483,SIBERIA AIRLINES,2018-12-07T15:30:00,2018-12-07T15:16:00,A,DME,MOSCOW-DOMODEDOVO,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDED,נחתה
LY,5120,EL AL ISRAEL AIRLINES,2018-12-07T14:45:00,2018-12-07T15:19:00,A,KRK,KRAKOW,קראקוב,KRAKOW,פולין,POLAND,3,,,LANDED,נחתה
LY,2652,EL AL ISRAEL AIRLINES,2018-12-07T14:00:00,2018-12-07T15:20:00,A,KBP,KIEV KYIV-BORISPOL,קייב,KIEV,אוקראינה,UKRAINE,3,,,CANCELED,מבוטלת
VJT,457,vista jet air,2018-12-07T15:20:00,2018-12-07T15:20:00,D,CAI,CAIRO INTERNATIONAL,קהיר,CAIRO,מצרים,EGYPT,3,,,CANCELED,מבוטלת
LY,2372,EL AL ISRAEL AIRLINES,2018-12-07T15:25:00,2018-12-07T15:21:00,A,SXF,BERLIN -SCHOENEFELD,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
LY,322,EL AL ISRAEL AIRLINES,2018-12-07T15:20:00,2018-12-07T15:23:00,A,MRS,MARSEILLE,מארסיי,MARSEILLE,צרפת,FRANCE,3,,,LANDED,נחתה
TP,8907,AIR PORTUGAL - TAP,2018-12-07T15:20:00,2018-12-07T15:23:00,A,MRS,MARSEILLE,מארסיי,MARSEILLE,צרפת,FRANCE,3,,,LANDED,נחתה
AC,9020,AIR CANADA,2018-12-07T15:15:00,2018-12-07T15:25:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
LH,686,LUFTHANSA,2018-12-07T15:15:00,2018-12-07T15:25:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
NH,5459,ALL NIPPON AIRWAYS,2018-12-07T15:15:00,2018-12-07T15:25:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
SN,7173,BRUSSELS AIRLINES,2018-12-07T15:15:00,2018-12-07T15:25:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
UA,9120,UNITED AIRLINES,2018-12-07T15:15:00,2018-12-07T15:25:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,LANDED,נחתה
AA,8392,AMERICAN AIRLINES,2018-12-07T15:05:00,2018-12-07T15:27:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
AR,7872,AEROLINEAS ARGENTINAS S.A.,2018-12-07T15:05:00,2018-12-07T15:27:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
IB,2395,IBERIA,2018-12-07T15:05:00,2018-12-07T15:27:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
LY,396,EL AL ISRAEL AIRLINES,2018-12-07T15:05:00,2018-12-07T15:27:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
PS,780,UKRAINE INTL  AIR,2018-12-07T15:15:00,2018-12-07T15:27:00,D,KBP,KIEV KYIV-BORISPOL,קייב,KIEV,אוקראינה,UKRAINE,3,35-38,B,DEPARTED,המריאה
TP,8909,AIR PORTUGAL - TAP,2018-12-07T15:05:00,2018-12-07T15:27:00,A,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,,,LANDED,נחתה
LY,2366,EL AL ISRAEL AIRLINES,2018-12-07T15:00:00,2018-12-07T15:29:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,LANDED,נחתה
EZY,5831,EASYJET,2018-12-07T15:45:00,2018-12-07T15:38:00,A,TXL,BERLIN TEGEL,ברלין,BERLIN,גרמניה,GERMANY,3,,,LANDED,נחתה
TK,787,TURKISH AIRLINES,2018-12-07T15:20:00,2018-12-07T15:38:00,D,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,G1-G7,G,DEPARTED,המריאה
TO,3301,TRANSAVIA FRANCE,2018-12-07T13:55:00,2018-12-07T15:40:00,D,ORY,PARIS-ORLY,פאריס,PARIS,צרפת,FRANCE,3,16-19,A,CANCELED,מבוטלת
AA,8386,AMERICAN AIRLINES,2018-12-07T15:05:00,2018-12-07T15:41:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
LY,382,EL AL ISRAEL AIRLINES,2018-12-07T15:05:00,2018-12-07T15:41:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,LANDED,נחתה
AZ,807,ALITALIA,2018-12-07T15:40:00,2018-12-07T15:43:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,6-11,A,DEPARTED,המריאה
6H,572,ISRAIR AIRLINES,2018-12-07T15:45:00,2018-12-07T15:45:00,A,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,3,,,LANDED,נחתה
6H,764,ISRAIR AIRLINES,2018-12-07T15:25:00,2018-12-07T15:50:00,A,BEG,BELGRADE,בלגראד,BELGRADE,סרביה,SERBIA,3,,,LANDED,נחתה
TO,3303,TRANSAVIA FRANCE,2018-12-07T15:40:00,2018-12-07T15:55:00,D,ORY,PARIS-ORLY,פאריס,PARIS,צרפת,FRANCE,3,12-15,A,DEPARTED,המריאה
UA,090,UNITED AIRLINES,2018-12-07T16:20:00,2018-12-07T15:56:00,A,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
045,GEVA2,גבע תעופה בעמ,2018-12-07T15:10:00,2018-12-07T15:58:00,A,TLV,TEL AVIV,נתב"ג,BEN GURION,ישראל,ISRAEL,3,,,LANDED,נחתה
MNB,611,MNG CARGO AIRLINES,2018-12-07T15:45:00,2018-12-07T15:59:00,D,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,DEPARTED,המריאה
EZY,2083,EASYJET,2018-12-07T16:00:00,2018-12-07T16:03:00,A,LTN,LUTON,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,LANDED,נחתה
AZ,808,ALITALIA,2018-12-07T16:20:00,2018-12-07T16:07:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
QAS,N131L,QUALITY AIR SERVICES,2018-12-07T13:00:00,2018-12-07T16:08:00,D,LOS,LAGOS,לאגוס,LAGOS,ניגריה,NIGERIA,3,,,DEPARTED,המריאה
SN,3290,BRUSSELS AIRLINES,2018-12-07T16:00:00,2018-12-07T16:13:00,D,BRU,BRUSSELS,בריסל,BRUSSELS,בלגיה,BELGIUM,3,30-33,A,DEPARTED,המריאה
DL,468,DELTA AIRLINES,2018-12-07T17:25:00,2018-12-07T16:19:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,LANDED,נחתה
LX,253,SWISS INT`L  AIRLINES,2018-12-07T16:00:00,2018-12-07T16:20:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,43-55,B,DEPARTED,המריאה
LY,8851,EL AL ISRAEL AIRLINES,2018-12-07T16:00:00,2018-12-07T16:20:00,D,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,43-55,B,DEPARTED,המריאה
045,4XCBT,גבע תעופה בעמ,2018-12-07T16:20:00,2018-12-07T16:20:00,A,HRZ,HERZLIA,הרצליה,HERZLIA,ישראל,ISRAEL,3,,,CANCELED,מבוטלת
LH,688,LUFTHANSA,2018-12-07T16:00:00,2018-12-07T16:24:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,LANDED,נחתה
SN,7171,BRUSSELS AIRLINES,2018-12-07T16:00:00,2018-12-07T16:24:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,LANDED,נחתה
UA,9471,UNITED AIRLINES,2018-12-07T16:00:00,2018-12-07T16:24:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,LANDED,נחתה
OS,858,AUSTRIAN AIRLINES,2018-12-07T16:10:00,2018-12-07T16:27:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,43-55,B,DEPARTED,המריאה
AEA,1302,AIR EUROPA,2018-12-07T16:05:00,2018-12-07T16:29:00,D,MAD,MADRID,מדריד,MADRID,ספרד,SPAIN,3,23-29,A,DEPARTED,המריאה
045,GEVA3,גבע תעופה בעמ,2018-12-07T16:00:00,2018-12-07T16:33:00,D,TLV,TEL AVIV,נתב"ג,BEN GURION,ישראל,ISRAEL,3,,,DEPARTED,המריאה
AF,1620,AIR FRANCE,2018-12-07T16:50:00,2018-12-07T16:39:00,A,CDG,PARIS-CHARLES DE GAULLE,פאריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
DL,8457,DELTA AIRLINES,2018-12-07T16:50:00,2018-12-07T16:39:00,A,CDG,PARIS-CHARLES DE GAULLE,פאריס,PARIS,צרפת,FRANCE,3,,,LANDED,נחתה
OK,7207,CZECH AIRLINES,2018-12-07T16:00:00,2018-12-07T16:45:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,1-3,A,DEPARTED,המריאה
LY,810,EL AL ISRAEL AIRLINES,2018-12-07T17:00:00,2018-12-07T16:50:00,A,LGG,LIEGE,ליאז,LIEGE,בלגיה,BELGIUM,3,,,LANDED,נחתה
RJ,344,ROYAL  JORDANIAN,2018-12-07T16:55:00,2018-12-07T16:53:00,A,AMM,AMMAN (QUEEN ALIA INT'L),עמאן,AMMAN,ירדן,JORDAN,3,,,LANDED,נחתה
FR,7090,RYANAIR,2018-12-07T16:40:00,2018-12-07T16:56:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,LANDED,נחתה
LH,8341,LUFTHANSA,2018-12-06T23:10:00,2018-12-07T16:56:00,D,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,DEPARTED,המריאה
CX,676,CATHAY PACIFIC AIRWAYS Ltd,2018-12-06T14:30:00,2018-12-07T17:00:00,D,HKG,HONG KONG INT'L,הונג-קונג,HONG KONG,סין,CHINA,3,56-61,C,CANCELED,מבוטלת
EZY,5832,EASYJET,2018-12-07T16:50:00,2018-12-07T17:01:00,D,TXL,BERLIN TEGEL,ברלין,BERLIN,גרמניה,GERMANY,1,317-320,W,DEPARTED,המריאה
LH,687,LUFTHANSA,2018-12-07T16:20:00,2018-12-07T17:04:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,43-55,B,DEPARTED,המריאה
SN,7174,BRUSSELS AIRLINES,2018-12-07T16:20:00,2018-12-07T17:04:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,43-55,B,DEPARTED,המריאה
UA,9123,UNITED AIRLINES,2018-12-07T16:20:00,2018-12-07T17:04:00,D,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,43-55,B,DEPARTED,המריאה
EZY,2084,EASYJET,2018-12-07T16:55:00,2018-12-07T17:08:00,D,LTN,LUTON,לונדון,LONDON,בריטניה,UNITED KINGDOM,1,317-320,W,ON TIME,בזמן
LAU,MAVIR,LAUFER GHI,2018-12-07T17:30:00,2018-12-07T17:19:00,A,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,,,LANDING,בנחיתה
BA,164,BRITISH AIRWAYS PLC,2018-12-07T16:45:00,2018-12-07T17:20:00,D,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,16-22,A,DEPARTED,המריאה
MNB,6121,MNG CARGO AIRLINES,2018-12-07T17:20:00,2018-12-07T17:20:00,D,IST,ISTANBUL-ATATURK,איסטנבול,ISTANBUL,טורקיה,TURKEY,3,,,ON TIME,בזמן
SU,508,AEROFLOT RUSSIAN AIRLINES,2018-12-07T17:40:00,2018-12-07T17:26:00,A,SVO,MOSCOW,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,,,LANDING,בנחיתה
AZ,813,ALITALIA,2018-12-07T17:25:00,2018-12-07T17:28:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,6-11,A,DEPARTED,המריאה
CX,676D,CATHAY PACIFIC AIRWAYS Ltd,2018-12-07T17:00:00,2018-12-07T17:30:00,D,HKG,HONG KONG INT'L,הונג-קונג,HONG KONG,סין,CHINA,3,,,CANCELED,מבוטלת
LH,689,LUFTHANSA,2018-12-07T17:05:00,2018-12-07T17:30:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,43-55,B,DELAYED,עיכוב
QAS,RRR58,QUALITY AIR SERVICES,2018-12-07T17:30:00,2018-12-07T17:30:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
SN,7172,BRUSSELS AIRLINES,2018-12-07T17:05:00,2018-12-07T17:30:00,D,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,43-55,B,DELAYED,עיכוב
FR,4103,RYANAIR,2018-12-07T17:55:00,2018-12-07T17:45:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,LANDING,בנחיתה
FR,7091,RYANAIR,2018-12-07T17:45:00,2018-12-07T17:45:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,1,311-315,W,ON TIME,בזמן
OK,4290,CZECH AIRLINES,2018-12-07T17:30:00,2018-12-07T17:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,FINAL,סופי
QS,1284,TRAVEL SERVICE,2018-12-07T17:30:00,2018-12-07T17:45:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,FINAL,סופי
RJ,345,ROYAL  JORDANIAN,2018-12-07T17:55:00,2018-12-07T17:55:00,D,AMM,AMMAN (QUEEN ALIA INT'L),עמאן,AMMAN,ירדן,JORDAN,3,12-15,A,ON TIME,בזמן
AF,1621,AIR FRANCE,2018-12-07T18:10:00,2018-12-07T18:10:00,D,CDG,PARIS-CHARLES DE GAULLE,פאריס,PARIS,צרפת,FRANCE,3,34-37,B,ON TIME,בזמן
OK,4291,CZECH AIRLINES,2018-12-07T18:25:00,2018-12-07T18:25:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,1-3,A,ON TIME,בזמן
QS,1285,TRAVEL SERVICE,2018-12-07T18:25:00,2018-12-07T18:25:00,D,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,1-3,A,ON TIME,בזמן
AZ,812,ALITALIA,2018-12-07T18:45:00,2018-12-07T18:45:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
FR,4104,RYANAIR,2018-12-07T18:45:00,2018-12-07T18:45:00,D,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,1,311-315,W,ON TIME,בזמן
A3,926,AEGEAN  AIRLINES,2018-12-07T19:00:00,2018-12-07T18:50:00,A,ATH,ELEFTHERIOS VENIZELOS,אתונה,ATHENS,יוון,GREECE,3,,,FINAL,סופי
SU,509,AEROFLOT RUSSIAN AIRLINES,2018-12-07T18:50:00,2018-12-07T18:50:00,D,SVO,MOSCOW,מוסקבה,MOSCOW,רוסיה,RUSSIAN FEDERATION,3,30-33,A,ON TIME,בזמן
QAS,RRR58,QUALITY AIR SERVICES,2018-12-07T19:00:00,2018-12-07T19:00:00,D,ADJ,AMMAN-MARKA,עמאן,AMMAN,ירדן,JORDAN,3,,,ON TIME,בזמן
